,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1972-73,78,52,10,16,,120,0,.769,329,184,0,4.22,2.36,--,--,32.0,29.9,--
1,2,Boston Bruins,1972-73,78,51,22,5,,107,0,.686,330,235,0,4.23,3.01,--,--,34.3,29.0,--
2,3,New York Rangers,1972-73,78,47,23,8,,102,0,.654,297,208,0,3.81,2.67,--,--,34.6,27.1,--
3,4,Chicago Blackhawks,1972-73,78,42,27,9,,93,0,.596,284,225,0,3.64,2.88,--,--,29.8,30.6,--
4,5,Buffalo Sabres,1972-73,78,37,27,14,,88,0,.564,257,219,0,3.29,2.81,--,--,31.9,29.1,--
5,6,Detroit Red Wings,1972-73,78,37,29,12,,86,0,.551,265,243,0,3.40,3.12,--,--,32.9,27.6,--
6,7,Minnesota North Stars,1972-73,78,37,30,11,,85,0,.545,254,230,0,3.26,2.95,--,--,31.6,31.9,--
7,8,Philadelphia Flyers,1972-73,78,37,30,11,,85,0,.545,296,256,0,3.79,3.28,--,--,33.6,34.4,--
8,9,St. Louis Blues,1972-73,78,32,34,12,,76,0,.487,233,251,0,2.99,3.22,--,--,34.1,29.9,--
9,10,Pittsburgh Penguins,1972-73,78,32,37,9,,73,0,.468,257,265,0,3.29,3.40,--,--,32.1,32.4,--
10,11,Los Angeles Kings,1972-73,78,31,36,11,,73,0,.468,232,245,0,2.97,3.14,--,--,29.1,28.8,--
11,12,Atlanta Flames,1972-73,78,25,38,15,,65,0,.417,191,239,0,2.45,3.06,--,--,27.1,31.8,--
12,13,Toronto Maple Leafs,1972-73,78,27,41,10,,64,0,.410,247,279,0,3.17,3.58,--,--,33.1,33.0,--
13,14,Vancouver Canucks,1972-73,78,22,47,9,,53,0,.340,233,339,0,2.99,4.35,--,--,29.7,32.5,--
14,15,California Golden Seals,1972-73,78,16,46,16,,48,0,.308,213,323,0,2.73,4.14,--,--,26.7,35.0,--
15,16,New York Islanders,1972-73,78,12,60,6,,30,0,.192,170,347,0,2.18,4.45,--,--,25.0,34.6,--
