,Player,Season,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,Shifts/GP,FOW%
1,Wayne Gretzky,1985-86,EDM,C,80,52,163,215,71,46,2.69,11,54,3,18,6,1,350,14.8,,--,--
2,Mario Lemieux,1985-86,PIT,C,79,48,93,141,-8,43,1.78,17,66,0,0,4,1,276,17.4,,--,--
3,Paul Coffey,1985-86,EDM,D,79,48,90,138,61,120,1.75,9,34,9,14,2,0,308,15.6,,--,--
4,Jari Kurri,1985-86,EDM,R,78,68,63,131,45,22,1.68,16,34,6,10,9,2,236,28.8,,--,--
5,Mike Bossy,1985-86,NYI,R,80,61,62,123,30,14,1.54,21,39,1,2,9,1,302,20.2,,--,--
6,Peter Stastny,1985-86,QUE,C,76,41,81,122,2,60,1.61,15,55,0,0,8,1,207,19.8,,--,--
7,Denis Savard,1985-86,CHI,C,80,47,69,116,10,111,1.45,14,39,1,2,8,0,281,16.7,,--,--
8,Mats Naslund,1985-86,MTL,L,80,43,67,110,11,16,1.38,19,50,0,0,7,0,225,19.1,,--,--
9,Dale Hawerchuk,1985-86,WIN,C,80,46,59,105,-27,44,1.31,18,43,2,3,2,0,313,14.7,,--,--
10,Neal Broten,1985-86,MNS,C,80,29,76,105,14,47,1.31,6,38,0,0,0,0,193,15.0,,--,--
11,Michel Goulet,1985-86,QUE,L,75,53,51,104,7,64,1.39,28,51,0,0,3,0,244,21.7,,--,--
12,Glenn Anderson,1985-86,EDM,R,72,54,48,102,38,90,1.42,18,33,2,2,9,0,242,22.3,,--,--
13,Bernie Federko,1985-86,STL,C,80,34,68,102,11,34,1.27,16,40,0,0,2,0,166,20.5,,--,--
14,Troy Murray,1985-86,CHI,C,80,45,54,99,32,94,1.24,9,23,5,6,7,1,196,22.9,,--,--
15,Brian Propp,1985-86,PHI,L,72,40,57,97,22,47,1.35,11,36,2,8,5,0,317,12.6,,--,--
16,Bernie Nicholls,1985-86,LAK,C,80,36,61,97,-5,78,1.21,10,27,4,4,0,0,281,12.8,,--,--
17,Bryan Trottier,1985-86,NYI,C,78,37,59,96,30,72,1.23,5,29,1,1,3,1,185,20.0,,--,--
18,Marcel Dionne,1985-86,LAK,C,80,36,58,94,-22,42,1.18,11,31,0,2,4,0,283,12.7,,--,--
19,Joe Mullen,1985-86,"STL, CGY",R,77,44,46,90,-1,21,1.17,14,36,0,0,8,2,202,21.8,,--,--
20,Dino Ciccarelli,1985-86,MNS,R,75,44,45,89,12,51,1.19,19,28,0,0,5,1,262,16.8,,--,--
21,Dave Andreychuk,1985-86,BUF,L,80,36,51,87,3,61,1.09,12,30,0,0,3,0,226,15.9,,--,--
22,Bobby Smith,1985-86,MTL,C,79,31,55,86,10,57,1.09,5,22,0,0,7,1,202,15.3,,--,--
23,Tim Kerr,1985-86,PHI,R,76,58,26,84,-2,79,1.11,34,50,0,0,7,0,285,20.3,,--,--
24,Keith Crowder,1985-86,BOS,R,78,38,46,84,16,177,1.08,20,37,0,0,4,0,181,21.0,,--,--
25,Mark Messier,1985-86,EDM,C,63,35,49,84,35,70,1.33,10,23,5,8,7,1,198,17.7,,--,--
26,Mike Bullard,1985-86,PIT,C,77,41,42,83,-17,69,1.08,16,32,2,4,5,0,216,19.0,,--,--
27,Dave Christian,1985-86,WSH,R,80,41,42,83,2,15,1.04,18,35,2,5,4,0,218,18.8,,--,--
28,Mark Howe,1985-86,PHI,D,77,24,58,82,87,36,1.06,4,23,7,10,3,0,193,12.4,,--,--
29,Larry Robinson,1985-86,MTL,D,78,19,63,82,25,39,1.05,10,42,0,0,1,0,167,11.4,,--,--
30,Ken Linseman,1985-86,BOS,C,64,23,58,81,15,95,1.27,8,36,0,0,3,0,132,17.4,,--,--
31,Mike Foligno,1985-86,BUF,R,79,41,39,80,27,168,1.01,7,18,1,3,4,0,222,18.5,,--,--
32,Sylvain Turgeon,1985-86,HFD,L,76,45,34,79,1,88,1.04,13,27,0,0,5,0,249,18.1,,--,--
33,Brian Bellows,1985-86,MNS,L,77,31,48,79,16,46,1.03,11,27,2,3,2,0,256,12.1,,--,--
34,Eddie Olczyk,1985-86,CHI,R,79,29,50,79,4,47,1.00,8,22,1,4,1,0,218,13.3,,--,--
35,Petri Skriko,1985-86,VAN,L,80,38,40,78,-18,34,0.97,12,26,1,5,2,0,191,19.9,,--,--
36,Greg Adams,1985-86,NJD,L,78,35,42,77,-7,30,0.99,10,21,0,0,2,0,202,17.3,,--,--
37,Ray Ferraro,1985-86,HFD,C,76,30,47,77,10,57,1.01,14,29,0,0,0,0,131,22.9,,--,--
38,Ron Francis,1985-86,HFD,C,53,24,53,77,5,24,1.45,7,32,1,2,4,0,120,20.0,,--,--
39,Ray Bourque,1985-86,BOS,D,74,19,58,77,17,68,1.04,11,45,0,2,3,1,289,6.6,,--,--
40,Scott Bjugstad,1985-86,MNS,L,80,43,33,76,6,24,0.95,14,25,2,4,7,1,217,19.8,,--,--
41,Al Secord,1985-86,CHI,L,80,40,36,76,10,201,0.95,12,29,0,0,3,0,210,19.0,,--,--
42,Ilkka Sinisalo,1985-86,PHI,R,74,39,37,76,16,31,1.03,19,32,1,1,7,1,184,21.2,,--,--
43,Steve Larmer,1985-86,CHI,R,80,31,45,76,11,47,0.95,13,29,1,3,3,0,184,16.8,,--,--
44,Barry Pederson,1985-86,BOS,C,79,29,47,76,17,60,0.96,12,32,0,0,6,1,192,15.1,,--,--
45,Mike Gartner,1985-86,WSH,R,74,35,40,75,-5,63,1.01,11,31,2,2,4,0,279,12.5,,--,--
46,Miroslav Frycer,1985-86,TOR,C,73,32,43,75,-27,74,1.03,7,24,0,0,3,1,201,15.9,,--,--
47,Craig Laughlin,1985-86,WSH,R,75,30,45,75,24,43,1.00,10,28,0,0,4,0,114,26.3,,--,--
48,Bengt-Ake Gustafsson,1985-86,WSH,L,70,23,52,75,9,26,1.07,8,31,4,5,6,1,113,20.3,,--,--
49,Mark Hunter,1985-86,STL,R,78,44,30,74,13,171,0.95,11,18,2,2,3,0,204,21.6,,--,--
50,Anton Stastny,1985-86,QUE,L,74,31,43,74,6,19,1.00,8,22,0,0,4,0,163,19.0,,--,--
51,John Anderson,1985-86,"QUE, HFD",R,79,29,45,74,18,28,0.94,9,31,3,4,6,0,239,12.1,,--,--
52,Alan Haworth,1985-86,WSH,C,71,34,39,73,36,72,1.03,7,15,0,0,5,0,194,17.5,,--,--
53,Tom Fergus,1985-86,TOR,C,78,31,42,73,-24,64,0.94,3,13,2,3,3,1,168,18.4,,--,--
54,Tony Tanti,1985-86,VAN,R,77,39,33,72,-8,85,0.94,17,33,0,1,5,0,213,18.3,,--,--
55,Dan Quinn,1985-86,CGY,C,78,30,42,72,-11,44,0.92,17,36,3,4,3,0,191,15.7,,--,--
